date,requirements_clarity,resource_availability,communication_score,technical_quality,process_compliance_pct,defect_unclear_requirements,defect_resource_unavailable,defect_scope_creep,defect_technical,defect_communication,total_defects
2024-01-01,5.522872994578328,6.419336999134814,7.17965269180568,8.424165946401917,80.228354880355,0,0,0,0,0,0
2024-01-02,5.639449994092131,5.646607335398433,8.064277388026737,7.4977442838058765,77.11594970380393,0,0,0,0,0,0
2024-01-03,5.775220306550939,8.88878411594804,6.274234336997659,6.53562511979018,77.24451818559972,0,0,0,0,0,0
2024-01-04,8.070647453918232,5.04045726334962,6.927231575451474,8.800498241765972,76.79274604426683,0,0,0,0,0,0
2024-01-05,7.2410452794241085,7.312808518988689,6.94969484615458,7.328376632061948,74.74445929008554,0,1,0,0,0,1
2024-01-06,8.259093528889046,6.565070870316242,6.380330105373856,6.705318524279094,86.6082678737852,1,1,0,0,0,2
2024-01-07,3.3572637159800216,7.305008670695442,7.240749557419774,9.233686921376036,81.48924210506996,1,0,0,0,0,1
2024-01-08,4.4120054942179845,8.457411142366418,7.410477389752095,8.362655622251168,87.98738503943797,1,0,0,0,0,1
2024-01-09,6.303626040845376,5.758054162561441,7.310005612817621,8.448390293615862,69.11236463793205,0,2,1,0,0,3
2024-01-10,6.513937628796369,4.478897366257699,10.0,7.128866235962484,79.03390023354078,0,0,0,0,0,0
2024-01-11,5.564346558956292,9.296837624640144,7.309317599236653,8.217432873179723,83.70067730688754,1,0,0,0,0,1
2024-01-12,7.243522831958907,8.32663111954958,8.68703030556038,8.638730222029185,63.569950872695166,0,0,0,0,1,1
2024-01-13,6.4037924801105115,7.394514892364176,7.8213572154502735,8.421920754235284,91.13711269058646,1,0,0,0,0,1
2024-01-14,7.18030145227097,6.642923795968009,8.87570681331162,7.849944412967473,76.25576453471542,0,0,0,0,0,0
2024-01-15,5.172254751500228,8.86307417858757,5.947272932183962,7.696464014422802,62.06854676353842,0,0,0,0,0,0
2024-01-16,5.598539055494959,8.178118584389914,7.175168616491377,5.500594285126427,97.90942572590743,0,0,0,0,0,0
2024-01-17,9.99292851263235,7.87018167925809,8.179973075516756,8.57546866749443,72.47314311999037,1,1,0,0,0,2
2024-01-18,7.088126794551304,5.813690671418899,6.396410682784229,8.179894151153478,88.920022863446,0,0,0,0,0,0
2024-01-19,6.2985978449637345,6.808931346283948,6.530800389686234,8.551037302242538,93.46626500830473,0,0,0,1,0,1
2024-01-20,6.833424076187426,6.305244093766995,7.563688393651616,8.47196133324661,76.39215408644903,0,1,0,0,0,1
2024-01-21,8.224129592395572,6.638915176766369,7.22467677649457,8.751375987075946,82.47165224259581,0,1,0,0,0,1
2024-01-22,5.448752481700872,9.66723475496209,6.262179055912884,8.52436274725291,67.650895855222,1,0,0,0,0,1
2024-01-23,4.194578059960519,7.321301469237355,8.959493603383521,6.3146890612380595,78.14383494054847,0,0,0,0,0,0
2024-01-24,6.496874303869724,7.68277969502233,9.128396623128538,7.620872259012513,72.96419639897638,0,1,0,0,0,1
2024-01-25,6.551125202388839,6.07603212272963,7.733785911790748,6.444104353796373,78.30880232214457,0,0,0,0,1,1
2024-01-26,7.750293442413387,9.007086864205244,7.919019009366045,7.294988144241591,74.44230922342294,0,1,0,0,0,1
2024-01-27,6.33316090797695,5.915310830242253,6.764470057410233,9.236093175210437,85.9131012059427,1,0,0,2,0,3
2024-01-28,7.413707181360765,9.783195447978033,7.8933178393943715,8.19204911649003,71.908835357975,0,1,0,0,0,1
2024-01-29,5.321015809238076,5.4025204557306665,5.663794626896704,8.507991326912544,63.966333938261265,0,0,1,1,0,2
2024-01-30,3.2706641105712757,6.473695352491245,8.66630274723679,8.568441006256155,80.99594113281493,0,0,0,0,0,0
2024-01-31,6.542271736053692,6.989057204026956,8.585895565831578,8.474698232879954,74.74973041254856,0,1,0,0,0,1
2024-02-01,7.726649448800431,6.268585357408861,7.313028697014554,8.056649924897107,80.2969275435673,1,0,0,0,0,1
2024-02-02,4.685457885738339,7.719914475995445,9.030750832343697,9.218761851697316,72.86557129069791,0,1,0,1,0,2
2024-02-03,8.736089205274927,6.559330940854008,6.793243242781823,8.302449714360124,68.72071513246051,0,0,1,0,0,1
2024-02-04,7.249290477643113,9.746418482557207,6.456027160001742,7.791039512667969,73.71492519144194,0,0,0,0,0,0
2024-02-05,7.984054157423197,6.308187519127936,4.90895770785509,7.453755551747517,78.91804005402547,0,0,0,0,1,1
2024-02-06,6.477035226240507,7.695149799521306,7.619580368414153,7.026931059118445,86.96571501664491,0,0,0,0,0,0
2024-02-07,6.262205640459545,4.236763612546341,7.055054239875329,7.125179619923881,52.23626491407998,1,1,0,0,0,2
2024-02-08,7.516888807008904,6.414506310225157,9.657308213265503,7.3942850769966615,82.42095372009307,0,0,0,0,0,0
2024-02-09,6.948938870609738,7.106376036877615,9.22212860568497,7.7710171385097535,75.90042837653286,0,0,0,0,0,0
2024-02-10,4.479310565705456,5.834063153787218,8.700413907944425,7.343105721028604,64.53089017318061,0,0,0,0,0,0
2024-02-11,7.304979128790929,7.728557320940342,8.811158886318106,6.747410987634504,69.97537513089384,0,0,0,0,0,0
2024-02-12,5.534722654429785,8.113408153697485,7.557013124897084,8.268592278863258,90.28468426412532,1,0,0,1,0,2
2024-02-13,7.261753634434435,4.914724293938449,5.5521164866788375,8.579442572867261,76.47699325226777,0,0,0,1,0,1
2024-02-14,6.956189256004714,7.319078175776618,8.337562703358373,7.186354643940326,87.13731437725842,1,0,0,0,1,2
2024-02-15,6.289935722086643,7.47962554210317,6.848643106208171,7.471383318250243,80.86364018755093,0,1,0,0,0,1
2024-02-16,7.348264468447316,4.887084689013019,8.253341621104532,8.381158384882777,87.89752754082745,0,0,0,0,0,0
2024-02-17,7.509772026904938,8.545578968562326,7.077188038914457,8.260662833150407,60.99492039725057,1,0,0,0,0,1
2024-02-18,4.325215151778641,5.672430182525989,7.045810441688484,7.1796561754693045,66.82814533391004,1,0,0,0,0,1
2024-02-19,3.3588190585043343,8.399858309172407,6.927002195009054,8.18111651021106,66.64237864979091,0,0,0,0,0,0
2024-02-20,9.592255364954596,8.45003947671177,8.524062525811463,8.592526949201183,82.78361076166638,0,0,0,0,0,0
2024-02-21,5.6732214255072,8.137390963404659,8.182034450043925,5.226437137086552,83.00936639629462,0,0,0,0,0,0
2024-02-22,8.770174614863198,7.756974021465733,6.475813175670795,9.854092566334188,87.21033695525352,0,0,1,0,0,1
2024-02-23,7.373146555202924,6.413380693856471,6.380382566710988,8.140886246911204,57.31560634437149,0,1,0,0,0,1
2024-02-24,7.270400159854574,6.360758992405707,6.330083164289712,5.127737786718351,74.72485094949364,0,0,0,0,0,0
2024-02-25,9.158377395004617,7.474371354950181,6.926562178457762,8.353482905948667,76.21505011401716,0,0,0,0,0,0
2024-02-26,6.16028166214771,7.440838608179414,8.413584626233249,7.196821049319655,89.92688568959522,0,0,0,0,0,0
2024-02-27,6.093314598436147,7.121973145227412,6.368973608508057,6.237167516157305,64.7335926526427,1,0,1,1,0,3
2024-02-28,7.826910184794039,5.89698383353514,6.38960048270398,8.567055517388104,61.66842689346345,1,0,0,0,0,1
2024-02-29,10.0,7.7595541018117915,7.050423961774719,9.017501229084182,100.0,0,1,0,0,0,1
2024-03-01,6.376028322442717,6.005179696409964,6.233659494374296,7.942016052567766,70.51619780946118,0,0,0,0,0,0
2024-03-02,9.515013933950002,6.780524270674192,8.874876419148185,7.354035820875465,67.00807993349747,0,0,0,0,0,0
2024-03-03,5.959289893693106,7.613698601115944,7.81747193473109,7.968081505356638,74.38956574530005,1,0,0,0,0,1
2024-03-04,5.396212326015748,8.571367475620855,6.931857670165665,6.169231551605134,77.00651803955687,1,0,0,0,0,1
2024-03-05,4.671328083021175,7.141265460857092,8.482573463627777,8.656360869828548,83.33807339159364,1,1,0,0,0,2
2024-03-06,5.858366469429872,5.853852904780776,7.923599065593461,10.0,64.32467085745728,0,1,0,1,1,3
2024-03-07,4.90640970777968,7.513968516649179,7.312855734995451,8.985729995679863,86.87386051564751,1,0,0,0,0,1
2024-03-08,10.0,7.202153171523537,8.817597535607959,6.993457434720359,86.39878561129045,0,1,0,0,0,1
2024-03-09,5.001046651557633,6.3942700945261395,8.340620026504553,8.546733568201379,72.61067900830305,0,0,0,0,0,0
2024-03-10,5.949763382277968,5.177861267242312,8.743852932586314,7.896976798602784,87.25132348167874,1,0,0,0,0,1
2024-03-11,5.896899883224994,7.629117613171802,6.990804759514536,8.777531240814945,88.75866173183957,0,0,0,0,0,0
2024-03-12,8.018819001580756,7.616689419590698,7.679581781939598,8.350630099273559,79.89187130147664,1,0,1,0,0,2
2024-03-13,3.9426821688015146,4.267610550960339,7.64082842652775,9.10059760676131,77.5293681426508,0,0,0,0,0,0
2024-03-14,6.404830904083782,7.8513421805668475,7.064513629430157,8.513105798176083,72.40453322416083,1,0,1,0,0,2
2024-03-15,7.489070879280427,6.536227939297631,7.83951448381884,7.3542286493634315,65.89296176935268,0,0,0,0,0,0
2024-03-16,6.63779711847274,5.735581097024375,6.432197078420807,8.950307591973576,92.10613372581925,1,0,0,0,0,1
2024-03-17,6.605078244669772,8.39425396312983,6.572646865809426,8.238368982734785,84.7519762978243,1,0,0,0,0,1
2024-03-18,7.251641254909768,7.613443119429977,8.873658545162957,7.862551485372308,84.52874547202939,0,0,0,0,0,0
2024-03-19,5.051753021256417,7.03619388704215,7.243412069817826,5.597246065100313,79.24234259711899,0,0,0,0,0,0
2024-03-20,6.715008751409346,6.109035297162342,6.179977488779294,7.388230909094714,74.62963202951588,0,0,1,0,0,1
2024-03-21,4.242919438953496,7.912067156427523,7.582439752934503,6.54244850053507,71.90790922950137,1,0,0,1,0,2
2024-03-22,5.371765391614125,5.936535587668713,7.768661426683773,8.103544138639393,53.37780779082207,1,0,1,0,0,2
2024-03-23,3.7952904856160825,5.099036868393412,7.767126651011483,8.508725023229934,59.188092979678665,2,0,0,0,0,2
2024-03-24,7.842557471114173,7.173841197589066,6.885227134843082,7.291711537398337,78.42815162402624,0,0,0,0,0,0
2024-03-25,6.303114549361543,7.092222259550522,7.275144018191922,7.349997419176541,76.68654671966728,0,0,0,0,0,0
2024-03-26,7.162910974354114,7.248068856693993,8.258938600121947,8.38153856258933,81.36596325821829,0,1,0,0,0,1
2024-03-27,3.9543539225206223,6.22531668562183,10.0,7.514348823909328,55.40609773909256,1,1,0,0,0,2
2024-03-28,7.598974041093625,8.200698781651575,6.829379790923355,9.392465300064329,72.49953485401048,2,0,0,0,0,2
2024-03-29,8.8784697393286,7.935480072688458,6.513213954260455,9.48202249361579,72.4674508997479,0,1,0,0,0,1
2024-03-30,4.678311078871008,5.304797898194767,8.713316409185643,7.849394080563156,67.86246143729349,0,0,0,0,0,0
